Opportunity Name,Research Initiative,Stage,Sub-Stage,Level 2 Government,Bridge Name,GPS (Latitude),GPS (Longitude),Level 1 Government,Level 3 Government,Level 4 Government,Individuals Directly Served,Bridge Type,Span (m),Ground Breaking Date,Close Date,CaseSafeID,Project Code,Randomized Order
Rwanda - Kavumu - 1014119,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamasheke,Kavumu,-2.37608,29.16455,Western Province,Rangiro_Kanjongo,Murambi-Susa,4871,Suspended Bridge,80,9/19/22,12/12/22,006f100000d1hDLAAY,1014119,18
Rwanda - Mukaka - 1012800,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rulindo,Mukaka,-1.62147,29.96712,Northern Province,Rukozo-Miyove,Mbuye-Miyove,2456,Suspension Bridge,118,3/7/22,6/10/22,006f100000d6kr4AAA,1012800,1
Rwanda - Nkegete - 1012807,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Muhanga,Nkegete,-1.91078,29.77379,Southern Province,Kabacuzi,Ngoma Cell (Between Peru Village and Nkegete Village),1441,Suspended Bridge,77,4/29/23,6/29/23,006f100000d6ksKAAQ,1012807,17
Rwanda - Kamiranzogera - 1012810,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Muhanga,Kamiranzogera,-1.93662,29.73471,Southern Province,Kabacuzi,Between Kabuga village of Kabuye cell and Kamiranzogera village of Kibyimba cell,3200,Suspended Bridge,68,9/19/22,11/30/22,006f100000d6kt3AAA,1012810,13
Rwanda - Mushepari - 1012811,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rubavu,Mushepari,-1.696388,29.273055,Western Province,Rugerero,Rwaza/gateko-rwaza/mushoko,1900,Suspension Bridge,42,8/15/22,11/1/22,006f100000d6kvJAAQ,1012811,2
Rwanda - Rurongora - 1012816,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamagabe,Rurongora,-2.34152,29.466329,Southern Province,Musebeya-kaduha,Nyarurambi,1962,Suspended Bridge,96,8/9/21,11/12/21,006f100000d6kx0AAA,1012816,9
Rwanda - Kamushi - 1012830,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyanza,Kamushi,-2.33542,29.67251,Southern Province,Rwabicuma - Cyabakamyi,Nyarusange - Nyabinyenga,3708,Suspended Bridge,59,3/5/23,6/2/23,006f100000d6mY6AAI,1012830,4
Rwanda - Gasharu - 1012831,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyanza,Gasharu,-2.31422,29.69336,Southern Province,Rwabicuma - Cyabakamyi,Cyerezo - Nyabinyenga,3531,Suspended Bridge,45,3/20/23,5/21/23,006f100000d6mYGAAY,1012831,6
Rwanda - Karuvungwa - 1012948,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Muhanga,Karuvungwa,-1.984992,29.73314,Southern Province,Kabacuzi-Muhanga,Mpanga Village (Ngarama cell)-Munzereri village (Remera cell),3400,Suspended Bridge,55,2/9/23,6/20/23,006f100000d6wBZAAY,1012948,14
Rwanda - Ngoma - 1012951,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Muhanga,Ngoma,-2.04935967,29.70709763,Southern Province,Muhanga,Cyurutare village (Nyamirama cell )- Mataba Village (Kanyinya cell),3542,Suspended Bridge,135,10/24/20,2/25/21,006f100000d6wBoAAI,1012951,6
Rwanda - Rwabagenzi - 1012952,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Muhanga,Rwabagenzi,-2.04202456,29.7725994,Southern Province,Muhanga,Rwabagenzi -Nyiramarangara (both in Nyamirama cell ),4514,Suspension Bridge,78,12/2/21,4/30/22,006f100000d6wBtAAI,1012952,10
Rwanda - Ruhunde - 1012956,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Muhanga,Ruhunde,-1.77785489,29.67587526,Southern Province,Nyabinoni,Gitwa village (Nyarusozi cell ) - Nyarusange village (Mbuga cell ),2851,Suspended Bridge,65,9/12/22,12/6/22,006f100000d6wCDAAY,1012956,11
Rwanda - Bishenge (Masuma) - 1012983,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamagabe,Bishenge (Masuma),-2.345908,29.409702,Southern Province,Nkomane,Mutengeli,2818,Hybrid Suspension Bridge,68,4/17/23,7/7/23,006f100000d6wIKAAY,1012983,18
Rwanda - Uwumugeti-Kigusa - 1012997,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamagabe,Uwumugeti-Kigusa,-2.540715,29.503838,Southern Province,Tare,Nkumbure-Gatovu,2762,Suspended Bridge,55,6/20/20,9/22/20,006f100000d6wNyAAI,1012997,7
Rwanda - Kamabuye - 1013011,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyanza,Kamabuye,-2.30024,29.6845,Southern Province,Cyabakamyi - Mukingo,Nyabinyenga - Cyerezo,4710,Suspended Bridge,52,2/3/23,6/13/23,006f100000d6wRfAAI,1013011,3
