Opportunity Name,Stage,Fiscal Year,Randomized Order,Research Initiative,Bridge Name,latitude,longitude,Level 1 Government,Level 2 Government,Level 3 Government,Level 4 Government,Sub-Stage,Individuals Directly Served,Bridge Type,Span (m),Ground Breaking Date,Close Date,CaseSafeID,Project Code
Rwanda - Kamiro - 1007444,Complete,2022,3,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kamiro,-1.681,29.50024,Western Province,Nyabihu,Rambura,Rugamba_Kibisabo,In Service,3805,Suspended Bridge,58,2/7/22,6/23/22,006f100000a86EiAAI,1007444
Rwanda - Kamushi - 1012830,Under Construction,2023,4,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kamushi,-2.33542,29.67251,Southern Province,Nyanza,Rwabicuma - Cyabakamyi,Nyarusange - Nyabinyenga,,3708,Suspension Bridge,85,10/13/22,1/14/23,006f100000d6mY6AAI,1012830
Rwanda - Kanyiramana 2 - 1024587,Prospecting,2024,1,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kanyiramana 2,-2.491467,29.65875,Southern Province,Huye,Kigoma,Kababaji,,3761,Suspension Bridge,156,7/5/23,10/31/23,0063Z00000kdQ8KQAU,1024587
Rwanda - Karama - 1007400,Complete,2021,7,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Karama,-2.07322294,29.71500053,Southern Province,Muhanga,Muhanga,Between Karama Village and Nyamitanga  Village,In Service,1820,Suspension Bridge,52,10/24/20,2/12/21,006f100000a86E0AAI,1007400
Rwanda - Karama - Muhengeri - 1010917,Complete,2022,1,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Karama - Muhengeri,-1.671847,30.057339,Northern Province,Gicumbi,Mutete,Muhengeri,In Service,1619,Suspended Bridge,70,5/23/22,8/29/22,006f100000c5ivZAAQ,1010917
Rwanda - Karambo - 1013886,Under Construction,2023,16,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Karambo,-2.221268,29.256019,Western Province,Nyamasheke,Mahembe~ Gihombo,Nyagatare~ kibingo,,7086,Suspended Bridge,86,10/10/22,1/19/23,006f100000d88DlAAI,1013886
Rwanda - Karuhanga - 1013455,Under Construction,2023,16,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Karuhanga,-2.00323,29.5765,Western Province,Ngororero,Ndaro sector,Gasharu village ( Bitabage  cell ) - Kimirehe village ( kibanda cell ),,3935,Suspension Bridge,81,10/13/22,1/19/23,006f100000d7Pr1AAE,1013455
Rwanda - Karukina - 1014268,Rejected,2019,5,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Karukina,-2.01861,30.0085,Kigali,Nyarugenge,Mageragere,Kankuba,Technical,3180,,,,12/31/18,006f100000eekYPAAY,1014268
Rwanda - Karuruma - 1014292,Prospecting,2025,8,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Karuruma,-2.10672,29.86075,Southern Province,Kamonyi,Nyarubaka,Kigusa/kintama,,8600,,,,12/30/24,006f100000eekhAAAQ,1014292
Rwanda - Karuvungwa - 1012948,Prospecting,2023,14,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Karuvungwa,-1.984941,29.733049,Southern Province,Muhanga,Kabacuzi-Muhanga,Mpanga Village (Ngarama cell)-Munzereri village (Remera cell),,3400,,55,4/20/23,6/30/23,006f100000d6wBZAAY,1012948
Rwanda - Kavumbu - 1013029,Complete,2022,1,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kavumbu,-1.67069,29.46836,Western Province,Nyabihu,Rambura,Mutaho,In Service,3981,Suspended Bridge,68,1/10/22,4/1/22,006f100000d6yLbAAI,1013029
Rwanda - Kavumu - 1014119,Complete,2023,18,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kavumu,-2.37608,29.16455,Western Province,Nyamasheke,Rangiro_Kanjongo,Murambi-Susa,In Service,4871,Suspended Bridge,,9/19/22,12/8/22,006f100000d1hDLAAY,1014119
Rwanda - Kibiraro - 1007499,Complete,2022,17,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kibiraro,-2.294167,29.555224,Southern Province,Nyamagabe,Kaduha,Murambi,In Service,2492,Suspended Bridge,80,2/14/22,6/24/22,006f100000a86FbAAI,1007499
Rwanda - Kibirira - 1007433,Rejected,2019,1,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Kibirira,-1.9307222,29.6403611,Western Province,Ngororero,Gatumba,,Technical,500,,7,,11/5/18,006f100000a86EXAAY,1007433
Rwanda - Kigandi - 1013692,Complete,2022,2,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kigandi,-2.326002,29.165331,Western Province,Nyamasheke,Macuba ~ kanjongo,Vugangoma,In Service,2825,Suspended Bridge,64,6/15/21,9/21/21,006f100000d7ix5AAA,1013692
Rwanda - Kigusa - 1013761,Confirmed,2023,6,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kigusa,-1.7246,29.54478,Western Province,Nyabihu,Mulinga-Jomba,Nkomane,,3494,,79,4/10/23,6/30/23,006f100000d7kslAAA,1013761
Rwanda - Kinamba - 1013378,Identified,2025,10,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kinamba,-1.65625,29.42217,Western Province,Nyabihu,Bigogwe,Rega,,2133,,,,12/31/24,006f100000d7Gs8AAE,1013378
Rwanda - Kintare - 1007593,Prospecting,2024,13,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kintare,-2.633202,29.454371,Southern Province,Nyaruguru,Gahurizo-Cyanyirankora,Kintare-Gakuta,,4382,Suspended Bridge,80,11/28/23,3/4/24,006f100000a86H7AAI,1007593
Rwanda - Kirwa - 1013683,Confirmed,2023,11,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kirwa,-1.61152,29.70026,Northern Province,Gakenke,Busengo,Butereri/kirwa,,1240,Suspended Bridge,136,1/30/23,4/19/23,006f100000d7ieSAAQ,1013683
Rwanda - Kivomo - 1013451,Rejected,2019,8,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Kivomo,-2.02839,29.57274,Western Province,Ngororero,Nyange sector,Nyagatama village ( vuganyana cell )-Mbobo village ( vuganyana cell ),Technical,3549,,,,12/31/18,006f100000d7PqDAAU,1013451
Rwanda - Kiyovu-buhanda - 1014094,Complete,2023,3,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kiyovu-buhanda,-2.70183,29.03029,Western Province,Rusizi,Bugarama,Pera/buhanga,In Service,1259,Hybrid Suspension Bridge,86,6/20/22,11/3/22,006f100000d1fVpAAI,1014094
Rwanda - Kucyarwamo - 1013777,Identified,2025,7,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kucyarwamo,-2.06358,29.39742,Western Province,Karongi,Rubengera sector,Kagarama village ( Kibirizi cell ) - Kabeza village ( Ruragwe cell ),,2524,Hybrid Suspension Bridge,89,,12/30/24,006f100000d7wXxAAI,1013777
Rwanda - Kugasumo - 1013377,Confirmed,2023,5,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kugasumo,-1.62689,29.48884,Western Province,Nyabihu,Jenda-Karago,Nyirakigugu-Cyamabuye,,2714,Suspended Bridge,90,4/10/23,6/30/23,006f100000d7Gs3AAE,1013377
Rwanda - Kwarasita - 1012809,Identified,2023,16,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kwarasita,-1.92495,29.78201,Southern Province,Muhanga,Kabacuzi  sector,Between Butare cell(Buyoga village)  and Ngoma Cell (Peru village ),,2101,,,4/24/23,6/30/23,006f100000d6kstAAA,1012809
