"Individuals Directly Served","Opportunity Name","Bridge Name","Project Code","Span (m)","Power of One","Bridge Type","GPS (Latitude)","GPS (Longitude)","Level 1 Government","B2P Fiscal Year"
"6500","Rwanda - Kabingo1 - 1014099","Kabingo1","1014099","98.0","1","Suspended Bridge","-2.5883670000","29.0953240000","Western Province","2023"
"5996","Rwanda - Rwengezi - 1014104","Rwengezi","1014104","120.0","1","Suspended Bridge","-2.5871730000","29.1059570000","Western Province","2023"
"2133","Rwanda - Nonwe - 1013717","Nonwe","1013717","68.0","1","Suspended Bridge","-2.2247490000","29.2910240000","Western Province","2023"
"1900","Rwanda - Mushepari - 1012811","Mushepari","1012811","42.0","1","Suspension Bridge","-1.6963880000","29.2730550000","Western Province","2023"
"500","Rwanda - Vunga - RW901","Vunga","RW901","35.0","1","Suspended Bridge","-1.6879480000","29.6378610000","Northern Province","2008"
"6500","Rwanda - Taba - 1002622","Taba","1002622","32.0","1","Suspended Bridge","-1.7005830000","29.8319330000","Northern Province","2014"
"2313","Rwanda - Rutenderi - RW102","Rutenderi","RW102","63.0","1","Suspended Bridge","-1.6606390000","29.8738890000","Northern Province","2014"
"5000","Rwanda - Rwamahwa - RW107","Rwamahwa","RW107","47.0","1","Suspended Bridge","-1.6348060000","29.8966670000","Northern Province","2015"
"1000","Rwanda - Shagasha - RW106","Shagasha","RW106","57.0","1","Suspended Bridge","-1.7106940000","30.0489720000","Northern Province","2015"
"4300","Rwanda - Gaseke - RW105","Gaseke","RW105","51.0","1","Suspension Bridge","-1.7657780000","30.1273890000","Northern Province","2015"
"6700","Rwanda - Gasiza - RW117","Gasiza","RW117","58.0","1","Suspended Bridge","-1.8131110000","29.8751110000","Northern Province","2017"
"2860","Rwanda - Gitwa - 1007340","Gitwa","1007340","52.0","1","Suspended Bridge","-1.7388880000","29.7552770000","Northern Province","2021"
"1600","Rwanda - Ntaruka - 1007347","Ntaruka","1007347","44.0","1","Suspended Bridge","-1.7811111110","29.8791666667","Northern Province","2021"
"1530","Rwanda - Kwiterambere - 1013678","Kwiterambere","1013678","76.0","1","Suspension Bridge","-1.6634400000","29.8343900000","Northern Province","2021"
"1280","Rwanda - Kabutimbo - 1015693","Kabutimbo","1015693","55.0","1","Suspended Bridge","-1.6211870000","29.6605690000","Northern Province","2021"
"6898","Rwanda - Gisiza - 1007635","Gisiza","1007635","88.0","1","Suspension Bridge","-1.7684200000","30.0632400000","Northern Province","2022"
"2456","Rwanda - Mukaka - 1012800","Mukaka","1012800","118.0","1","Suspension Bridge","-1.6214700000","29.9671200000","Northern Province","2022"
"2155","Rwanda - Gitovu - 1007649","Gitovu","1007649","75.0","1","Suspended Bridge","-1.6226470000","29.8904230000","Northern Province","2023"
"800","Rwanda - Muduha - 1007617","Muduha","1007617","52.0","1","Suspension Bridge","-1.7244100000","30.0589000000","Northern Province","2023"
"1216","Rwanda - Nyagakizi - 1009714","Nyagakizi","1009714","77.0","1","Suspension Bridge","-1.5333330000","30.1736110000","Northern Province","2023"
"1619","Rwanda - Karama - Muhengeri - 1010917","Karama - Muhengeri","1010917","70.0","1","Suspended Bridge","-1.6718470000","30.0573390000","Northern Province","2023"
"1854","Rwanda - Nyabizi ya 1 - 1013496","Nyabizi ya 1","1013496","60.0","1","Suspended Bridge","-1.3300100000","29.8255500000","Northern Province","2023"
"1462","Rwanda - Kabuga - 1013762","Kabuga","1013762","40.0","1","Suspended Bridge","-1.8202330000","30.0137690000","Northern Province","2023"
"2554","Rwanda - Cyabami (Kwa Anamariya) - 1013233","Cyabami (Kwa Anamariya)","1013233","56.0","1","Suspended Bridge","-1.6083400000","29.8911000000","Northern Province","2023"
"12000","Rwanda - Mayange Nyamabare - RW903","Mayange Nyamabare","RW903","85.0","1","Suspended Bridge","-1.5559180000","30.2118440000","Eastern Province","2012"
